Chr	winID	start	end	winCenter	mean_perm_perc	prop_perm_perc
Chr08_Pall	332	16572347	16622347	16597347	0.9999831363092127	0.9981028347864214
Chr07_Occ	997	49817332	49867332	49842332	0.9979763571055161	0.9962646924905985
Chr08_Pall	334	16672347	16722347	16697347	0.9976053559081941	0.988170120912663
Chr08_Pall	333	16622347	16672347	16647347	0.9918801328858834	0.9710113155365183
Chr08_Pall	1135	56722347	56772347	56747347	0.9899745358269111	0.9853285890149919
Chr05_Pall	1164	58152905	58202905	58177905	0.9873943911364441	0.975328420378084
Chr07_Occ	996	49767332	49817332	49792332	0.9852611342518424	0.9877148012614041
Chr05_Occ	329	16410042	16460042	16435042	0.9851177928801498	0.9688696268065229
Chr08_Occ	175	8720573	8770573	8745573	0.984257744649994	0.8246176158113965
Chr05_Pall	1167	58302905	58352905	58327905	0.9840216529789709	0.9741395301775747
Chr05_Pall	1166	58252905	58302905	58277905	0.9814668038246851	0.9365166360309617
Chr04_Occ	145	7205352	7255352	7230352	0.975674126039225	0.9131604242904602
Chr04_Occ	148	7355352	7405352	7380352	0.97362518760856	0.9884652355014418
Chr07_Pall	989	49418066	49468066	49443066	0.9716268402502571	0.967006188974519
Chr04_Occ	151	7505352	7555352	7530352	0.9610027150542167	0.9661377088989697
Chr04_Occ	149	7405352	7455352	7430352	0.9562049950252112	0.9734481188552927
Chr06_Occ	1105	55222456	55272456	55247456	0.9525624378151403	0.963388927300629
Chr01_Pall	916	45779843	45829843	45804843	0.9454881195298404	0.9505809541476248
Chr04_Occ	143	7105352	7155352	7130352	0.943371726336026	0.908514477478541
Chr05_Occ	1132	56560042	56610042	56585042	0.9414745611224472	0.8262280982815899
Chr07_Occ	880	43967332	44017332	43992332	0.9414155382046915	0.9700838125432132
Chr04_Occ	150	7455352	7505352	7480352	0.9301252972225501	0.9378488676031637
Chr04_Pall	636	31752531	31802531	31777531	0.9296531138805039	0.9524612556704161
Chr04_Occ	1200	59955352	60005352	59980352	0.9138012445403801	0.9334896035346296
Chr06_Occ	346	17272456	17322456	17297456	0.9119040793268015	0.9294338859002681
Chr07_Occ	877	43817332	43867332	43842332	0.9060776741597666	0.9185905327239919
Chr08_Pall	41	2022347	2072347	2047347	0.9041130541830384	0.8566923556889661
Chr08_Pall	223	11122347	11172347	11147347	0.8975362147759659	0.8830081451626502
Chr05_Occ	1133	56610042	56660042	56635042	0.8965581207102986	0.925740737617835
Chr07_Occ	752	37567332	37617332	37592332	0.8924096527766067	0.9053103762289415
Chr07_Pall	598	29868066	29918066	29893066	0.8859002681326835	0.9220307256446146
Chr07_Occ	781	39017332	39067332	39042332	0.8843235130440649	0.8830081451626502
Chr04_Occ	152	7555352	7605352	7580352	0.8707398101148417	0.9096359129159007
Chr04_Occ	142	7055352	7105352	7080352	0.8674429585659117	0.9264827400124791
Chr01_Occ	691	34501721	34551721	34526721	0.8531762761598003	0.7746167726268571
Chr05_Pall	1148	57352905	57402905	57377905	0.8461019578745004	0.7638071468321557
Chr04_Occ	144	7155352	7205352	7180352	0.8275181706268234	0.5719320730535085
Chr01_Occ	419	20901721	20951721	20926721	0.8216158788512454	0.8460429349567447
Chr04_Pall	1158	57852531	57902531	57877531	0.7985547816995228	0.7538154100406415
Chr08_Pall	1100	54972347	55022347	54997347	0.795063997706538	0.7760670500345705
Chr03_Occ	247	12358557	12408557	12383557	0.7946592691276413	0.8666250695627244
Chr01_Occ	1002	50051721	50101721	50076721	0.7678460007757297	0.6979291387713115
Chr06_Pall	982	49074841	49124841	49099841	0.7504932629555304	0.6675070405909037
Chr01_Occ	1100	54951721	55001721	54976721	0.7362940353125685	0.6634260274203613
Chr07_Pall	990	49468066	49518066	49493066	0.7265383901920774	0.31199514325705324
Chr04_Pall	617	30802531	30852531	30827531	0.7085448321219582	0.47494055548997455
Chr03_Pall	1168	58358039	58408039	58383039	0.7064790300005059	0.6094790805915783
Chr05_Pall	617	30802905	30852905	30827905	0.691748596097742	0.46214944602775765
Chr07_Occ	1110	55467332	55517332	55492332	0.6912932764464831	0.7095144943422318
Chr04_Pall	616	30752531	30802531	30777531	0.6840334575625221	0.6486281387544478
Chr07_Pall	826	41268066	41318066	41293066	0.6787466905006829	0.7250290898666082
Chr07_Occ	117	5817332	5867332	5842332	0.6743452672051805	0.6038719034047791
Chr06_Pall	887	44324841	44374841	44349841	0.6722710332383346	0.20376397578374003
Chr07_Pall	519	25918066	25968066	25943066	0.6673721310646048	0.617995244439198
Chr01_Occ	1326	66251721	66301721	66276721	0.6543617936221522	0.3884719809777568
Chr07_Occ	319	15917332	15967332	15942332	0.6213342552150963	0.7771125988633872
Chr07_Occ	370	18467332	18517332	18492332	0.6097236041079951	0.682279633720636
Chr01_Pall	25	1229843	1279843	1254843	0.600979780434746	0.5157506871953996
Chr05_Pall	1037	51802905	51852905	51827905	0.5907856793537833	0.3156461323125179
Chr07_Pall	967	48318066	48368066	48343066	0.5783487073981012	0.2837737567243967
Chr06_Occ	805	40222456	40272456	40247456	0.5769743165989308	0.17448017673147945
Chr01_Pall	341	17029843	17079843	17054843	0.5769574529081435	0.42040337948363377
Chr08_Pall	472	23572347	23622347	23597347	0.5752457882932258	0.4634310865275974
Chr01_Pall	546	27279843	27329843	27304843	0.5730788040270494	0.4294844769726302
Chr04_Occ	141	7005352	7055352	7030352	0.5714177304844938	0.5407764043238503
Chr02_Occ	214	10657793	10707793	10682793	0.5712406617312265	0.8057893050473026
Chr02_Occ	178	8857793	8907793	8882793	0.5709792745240223	0.43892814381355505
Chr08_Pall	39	1922347	1972347	1947347	0.5497141604411542	0.6015700096123038
Chr06_Occ	373	18622456	18672456	18647456	0.5438203005109699	0.531906102969696
Chr01_Pall	876	43779843	43829843	43804843	0.5407089495607008	0.4919222921128518
Chr01_Occ	887	44301721	44351721	44326721	0.5374205298571645	0.36487124572083846
Chr01_Occ	866	43251721	43301721	43276721	0.5365942090085836	0.3012529722255013
Chr01_Pall	1209	60429843	60479843	60454843	0.5338538592556367	0.7936221521442183
Chr07_Occ	878	43867332	43917332	43892332	0.525868901667819	0.6545978852931753
Chr08_Pall	336	16772347	16822347	16797347	0.5212482503920808	0.24078820890740146
Chr04_Occ	1180	58955352	59005352	58980352	0.519089697971298	0.5671933759422587
Chr06_Pall	897	44824841	44874841	44849841	0.5144184556231977	0.7163189935749338
Chr01_Occ	218	10851721	10901721	10876721	0.5038702170357005	0.8083104268200139
Chr03_Pall	349	17408039	17458039	17433039	0.48888682777112596	0.5370748241960236
Chr01_Occ	416	20751721	20801721	20776721	0.4799406398084285	0.6840165938717347
Chr05_Occ	1151	57510042	57560042	57535042	0.47596080878261016	0.6886035177658982
Chr08_Pall	800	39972347	40022347	39997347	0.4707162009477394	0.4986762002731918
Chr01_Occ	649	32401721	32451721	32426721	0.4670905074284558	0.5163999392907132
Chr01_Pall	715	35729843	35779843	35754843	0.46549688864904976	0.2973911870351945
Chr05_Pall	854	42652905	42702905	42677905	0.42281488726622707	0.5123104942747769
Chr04_Occ	9	405352	455352	430352	0.42069849407241267	0.1669336751041333
Chr08_Pall	931	46522347	46572347	46547347	0.40929863910015346	0.18220374711209295
Chr01_Pall	874	43679843	43729843	43704843	0.40369989375874804	0.6352552319600668
Chr06_Pall	119	5924841	5974841	5949841	0.39402013524680013	0.18634378320039124
Chr01_Occ	536	26751721	26801721	26776721	0.3832442368336734	0.6060135921347746
Chr06_Pall	453	22624841	22674841	22649841	0.36607699961213513	0.3884719809777568
Chr02_Occ	282	14057793	14107793	14082793	0.36264523853690617	0.2707718511273377
Chr04_Occ	573	28605352	28655352	28630352	0.3448203173746606	0.14506989999831363
Chr08_Occ	1139	56920573	56970573	56945573	0.34301590246041247	0.5338117000286683
Chr05_Pall	409	20402905	20452905	20427905	0.3306969763402418	0.45175298065734665
Chr08_Occ	508	25370573	25420573	25395573	0.324364660449586	0.2821885697903843
Chr06_Pall	598	29874841	29924841	29899841	0.31799861717735545	0.41318571982664126
Chr04_Pall	845	42202531	42252531	42227531	0.3176697752070018	0.33964316430293934
Chr04_Pall	621	31002531	31052531	31027531	0.289827821717061	0.17093880166613265
Chr05_Occ	434	21660042	21710042	21685042	0.26972630229852107	0.49773183358909934
Chr08_Occ	62	3070573	3120573	3095573	0.2613366161318066	0.20685003119782797
Chr02_Pall	807	40311600	40361600	40336600	0.24901769001163596	0.3805123189261202
Chr02_Occ	4	157793	207793	182793	0.2378286311742188	0.14989291556350023
Chr06_Occ	84	4172456	4222456	4197456	0.22907637565557598	0.3598458658662035
Chr07_Pall	780	38968066	39018066	38993066	0.21704413227879055	0.26418657987487143
Chr04_Pall	638	31852531	31902531	31877531	0.21001197322045903	0.3081249262213528
Chr04_Pall	847	42302531	42352531	42327531	0.2034351338133864	0.5470749928329314
Chr04_Occ	24	1155352	1205352	1180352	0.2005430108433532	0.20685003119782797
Chr06_Occ	82	4072456	4122456	4097456	0.19719556822206108	0.14000236091671023
Chr05_Pall	404	20152905	20202905	20177905	0.19265080355486602	0.22100709961382148
Chr01_Pall	470	23479843	23529843	23504843	0.18733030911145213	0.22950639977065382
Chr05_Occ	812	40560042	40610042	40585042	0.17953928396768917	0.2589925631123628
Chr05_Pall	329	16402905	16452905	16427905	0.16666385605153544	0.4042732592455185
Chr05_Occ	598	29860042	29910042	29885042	0.15749844010860217	0.19939627986981232
Chr03_Pall	1052	52558039	52608039	52583039	0.1419248216664699	0.16676503819625962
Chr01_Occ	1107	55301721	55351721	55326721	0.14179834398556468	0.6037201301876929
Chr05_Pall	1147	57302905	57352905	57327905	0.13103930926322535	0.14870402536299093
Chr05_Pall	3	102905	152905	127905	0.1063171385689472	0.17321539992242702
