pop1	pop2	Chr	start	end	avg_hudson_fst	no_snps	winCenter	is_outlier
Urban	Rural	Chr01_Occ	26500001	26550000	0.0265162541637116	334	26525000	1
Urban	Rural	Chr01_Occ	44850001	44900000	0.0371760834785484	108	44875000	1
Urban	Rural	Chr01_Occ	44900001	44950000	0.038269863378148	145	44925000	1
Urban	Rural	Chr01_Occ	45250001	45300000	0.0273695373645219	200	45275000	1
Urban	Rural	Chr01_Occ	52750001	52800000	0.0236531846304196	157	52775000	1
Urban	Rural	Chr01_Occ	62950001	63000000	0.0232851715661764	322	62975000	1
Urban	Rural	Chr01_Occ	67300001	67350000	0.0289930387536426	294	67325000	1
Urban	Rural	Chr01_Pall	150001	200000	0.0235083042809907	107	175000	1
Urban	Rural	Chr01_Pall	800001	850000	0.0216903626450357	189	825000	1
Urban	Rural	Chr01_Pall	1200001	1250000	0.0370259177818227	223	1225000	1
Urban	Rural	Chr01_Pall	2650001	2700000	0.0281937407476908	253	2675000	1
Urban	Rural	Chr01_Pall	10600001	10650000	0.0309560622455142	246	10625000	1
Urban	Rural	Chr01_Pall	10900001	10950000	0.0289376511358453	111	10925000	1
Urban	Rural	Chr01_Pall	13200001	13250000	0.023261665933541	149	13225000	1
Urban	Rural	Chr01_Pall	22650001	22700000	0.031060528227537	418	22675000	1
Urban	Rural	Chr01_Pall	35800001	35850000	0.0266168338228313	80	35825000	1
Urban	Rural	Chr01_Pall	43600001	43650000	0.0225214424011202	116	43625000	1
Urban	Rural	Chr01_Pall	43800001	43850000	0.0217435537242145	201	43825000	1
Urban	Rural	Chr01_Pall	44650001	44700000	0.0286220842549841	75	44675000	1
Urban	Rural	Chr01_Pall	44700001	44750000	0.0556560910054129	387	44725000	1
Urban	Rural	Chr01_Pall	44750001	44800000	0.0352319085282036	342	44775000	1
Urban	Rural	Chr01_Pall	46650001	46700000	0.0314780986426518	304	46675000	1
Urban	Rural	Chr01_Pall	48450001	48500000	0.0239924122753044	375	48475000	1
Urban	Rural	Chr01_Pall	48500001	48550000	0.0220618837196989	168	48525000	1
Urban	Rural	Chr01_Pall	52550001	52600000	0.0328864958643833	228	52575000	1
Urban	Rural	Chr01_Pall	57500001	57550000	0.0315332825177889	358	57525000	1
Urban	Rural	Chr01_Pall	66450001	66500000	0.0342423441379934	228	66475000	1
Urban	Rural	Chr02_Occ	450001	500000	0.028329159070535	314	475000	1
Urban	Rural	Chr02_Occ	3600001	3650000	0.021469096433536	214	3625000	1
Urban	Rural	Chr02_Occ	8900001	8950000	0.0328808968928233	189	8925000	1
Urban	Rural	Chr02_Occ	41300001	41350000	0.0259345027746369	341	41325000	1
Urban	Rural	Chr02_Occ	42050001	42100000	0.0242567913039436	93	42075000	1
Urban	Rural	Chr02_Occ	42150001	42200000	0.0249793642966097	217	42175000	1
Urban	Rural	Chr02_Occ	42450001	42500000	0.0238905952465232	595	42475000	1
Urban	Rural	Chr02_Occ	42500001	42550000	0.0288003114647791	60	42525000	1
Urban	Rural	Chr02_Occ	42550001	42600000	0.0339299271119452	561	42575000	1
Urban	Rural	Chr02_Occ	42600001	42650000	0.0412337442245525	245	42625000	1
Urban	Rural	Chr02_Occ	42650001	42700000	0.0403855037833532	992	42675000	1
Urban	Rural	Chr02_Occ	42700001	42750000	0.0289109075786316	456	42725000	1
Urban	Rural	Chr02_Occ	42750001	42800000	0.0244902176183239	1133	42775000	1
Urban	Rural	Chr02_Occ	42800001	42850000	0.0275408284322213	986	42825000	1
Urban	Rural	Chr02_Occ	45100001	45150000	0.0274836225532996	241	45125000	1
Urban	Rural	Chr02_Occ	45800001	45850000	0.0225985648376096	85	45825000	1
Urban	Rural	Chr02_Pall	28450001	28500000	0.0215034554619148	188	28475000	1
Urban	Rural	Chr02_Pall	28850001	28900000	0.0262476296193515	83	28875000	1
Urban	Rural	Chr02_Pall	29000001	29050000	0.0251753571449655	502	29025000	1
Urban	Rural	Chr02_Pall	35600001	35650000	0.0291162740727311	243	35625000	1
Urban	Rural	Chr02_Pall	35650001	35700000	0.0247608997466116	350	35675000	1
Urban	Rural	Chr02_Pall	35800001	35850000	0.0331821195812081	254	35825000	1
Urban	Rural	Chr02_Pall	35850001	35900000	0.0216699953839335	98	35875000	1
Urban	Rural	Chr02_Pall	36250001	36300000	0.0211533988876006	62	36275000	1
Urban	Rural	Chr02_Pall	38400001	38450000	0.021467447632173	60	38425000	1
Urban	Rural	Chr03_Occ	35800001	35850000	0.0235871738415205	107	35825000	1
Urban	Rural	Chr03_Occ	35850001	35900000	0.0210306457369445	153	35875000	1
Urban	Rural	Chr03_Occ	36700001	36750000	0.0255072221474658	502	36725000	1
Urban	Rural	Chr03_Occ	43050001	43100000	0.0220538073664791	245	43075000	1
Urban	Rural	Chr03_Occ	46150001	46200000	0.0238259556840142	161	46175000	1
Urban	Rural	Chr03_Occ	47800001	47850000	0.0217836166462987	181	47825000	1
Urban	Rural	Chr03_Occ	53150001	53200000	0.0226803905807548	275	53175000	1
Urban	Rural	Chr03_Occ	58750001	58800000	0.0261855729273968	219	58775000	1
Urban	Rural	Chr03_Pall	22100001	22150000	0.0215755918201052	294	22125000	1
Urban	Rural	Chr03_Pall	33350001	33400000	0.0245151757122031	221	33375000	1
Urban	Rural	Chr03_Pall	54750001	54800000	0.0314797698670068	98	54775000	1
Urban	Rural	Chr03_Pall	55050001	55100000	0.02955730949605	180	55075000	1
Urban	Rural	Chr03_Pall	56700001	56750000	0.0236628999105693	159	56725000	1
Urban	Rural	Chr03_Pall	57300001	57350000	0.0429456504664384	175	57325000	1
Urban	Rural	Chr03_Pall	57350001	57400000	0.0315398171901906	176	57375000	1
Urban	Rural	Chr03_Pall	59100001	59150000	0.0218761201850442	157	59125000	1
Urban	Rural	Chr04_Occ	400001	450000	0.0331271593876307	151	425000	1
Urban	Rural	Chr04_Occ	5650001	5700000	0.0233814063431176	156	5675000	1
Urban	Rural	Chr04_Occ	5700001	5750000	0.0465274112301715	235	5725000	1
Urban	Rural	Chr04_Occ	5750001	5800000	0.0248150939797163	356	5775000	1
Urban	Rural	Chr04_Occ	7400001	7450000	0.0347147097214772	112	7425000	1
Urban	Rural	Chr04_Occ	7450001	7500000	0.0494612834812694	117	7475000	1
Urban	Rural	Chr04_Occ	7500001	7550000	0.0265257499829458	252	7525000	1
Urban	Rural	Chr04_Occ	7550001	7600000	0.0336743499787317	255	7575000	1
Urban	Rural	Chr04_Occ	7600001	7650000	0.0228406090027009	199	7625000	1
Urban	Rural	Chr04_Occ	7650001	7700000	0.0283352314562698	178	7675000	1
Urban	Rural	Chr04_Occ	9400001	9450000	0.0268846475531145	147	9425000	1
Urban	Rural	Chr04_Occ	9700001	9750000	0.0239490905747638	57	9725000	1
Urban	Rural	Chr04_Occ	51000001	51050000	0.0292229367600605	111	51025000	1
Urban	Rural	Chr04_Occ	53750001	53800000	0.027962040749843	311	53775000	1
Urban	Rural	Chr04_Occ	54050001	54100000	0.022115114374448	535	54075000	1
Urban	Rural	Chr04_Pall	17200001	17250000	0.0241209811843747	553	17225000	1
Urban	Rural	Chr04_Pall	30800001	30850000	0.029693879646423	102	30825000	1
Urban	Rural	Chr04_Pall	30850001	30900000	0.021242354983656	261	30875000	1
Urban	Rural	Chr04_Pall	31600001	31650000	0.026524388608223	490	31625000	1
Urban	Rural	Chr04_Pall	31750001	31800000	0.0272197549311233	197	31775000	1
Urban	Rural	Chr04_Pall	39900001	39950000	0.028206870622961	57	39925000	1
Urban	Rural	Chr04_Pall	56450001	56500000	0.0232236528373867	296	56475000	1
Urban	Rural	Chr04_Pall	57550001	57600000	0.0220333731296817	70	57575000	1
Urban	Rural	Chr05_Occ	3250001	3300000	0.0320718574722466	117	3275000	1
Urban	Rural	Chr05_Occ	4500001	4550000	0.024282520495511	276	4525000	1
Urban	Rural	Chr05_Occ	4550001	4600000	0.0375331104075811	242	4575000	1
Urban	Rural	Chr05_Occ	4600001	4650000	0.0473845276584847	150	4625000	1
Urban	Rural	Chr05_Occ	4650001	4700000	0.0284580701329032	108	4675000	1
Urban	Rural	Chr05_Occ	4800001	4850000	0.0496453013896182	204	4825000	1
Urban	Rural	Chr05_Occ	16400001	16450000	0.055436834409556	121	16425000	1
Urban	Rural	Chr05_Occ	25400001	25450000	0.0281504957524823	147	25425000	1
Urban	Rural	Chr05_Occ	25600001	25650000	0.0219399638377498	335	25625000	1
Urban	Rural	Chr05_Occ	36150001	36200000	0.0303250935516436	124	36175000	1
Urban	Rural	Chr05_Occ	50000001	50050000	0.0258128032006953	270	50025000	1
Urban	Rural	Chr05_Pall	4600001	4650000	0.025566850368875	218	4625000	1
Urban	Rural	Chr05_Pall	19950001	20000000	0.0235149894126825	100	19975000	1
Urban	Rural	Chr05_Pall	21050001	21100000	0.0340412335908914	124	21075000	1
Urban	Rural	Chr05_Pall	21100001	21150000	0.0304151891447826	125	21125000	1
Urban	Rural	Chr05_Pall	36750001	36800000	0.0314979128353007	325	36775000	1
Urban	Rural	Chr05_Pall	37800001	37850000	0.0382281865871971	146	37825000	1
Urban	Rural	Chr05_Pall	55850001	55900000	0.0223182741996769	330	55875000	1
Urban	Rural	Chr05_Pall	58300001	58350000	0.0214561345665012	179	58325000	1
Urban	Rural	Chr06_Occ	4200001	4250000	0.025621163485960802	224	4225000	1
Urban	Rural	Chr06_Occ	15450001	15500000	0.0219676119042235	474	15475000	1
Urban	Rural	Chr06_Occ	17300001	17350000	0.0250965575111981	165	17325000	1
Urban	Rural	Chr06_Occ	25450001	25500000	0.0217925085789986	166	25475000	1
Urban	Rural	Chr06_Occ	36650001	36700000	0.0232327963127922	195	36675000	1
Urban	Rural	Chr06_Occ	36700001	36750000	0.0217894081351951	729	36725000	1
Urban	Rural	Chr06_Occ	42600001	42650000	0.0214227596472267	1007	42625000	1
Urban	Rural	Chr06_Occ	49900001	49950000	0.0221066134689599	54	49925000	1
Urban	Rural	Chr06_Occ	55200001	55250000	0.0279825806706547	255	55225000	1
Urban	Rural	Chr06_Occ	59600001	59650000	0.0448659417164141	399	59625000	1
Urban	Rural	Chr06_Pall	29850001	29900000	0.0212684314917261	294	29875000	1
Urban	Rural	Chr06_Pall	48300001	48350000	0.0246440794134288	463	48325000	1
Urban	Rural	Chr07_Occ	11650001	11700000	0.0387692777557046	483	11675000	1
Urban	Rural	Chr07_Occ	12250001	12300000	0.0319813461511228	166	12275000	1
