site_id	term	estimate	std.error	statistic	p.value
10_58182384	Distance	0.03648050111349315	0.014450425052366139	2.524527893213755	0.011585381056531126
10_58330892	Distance	-0.03097505100749532	0.013685274449609363	-2.263385445542123	0.023611939158622957
13_49803340	Distance	-0.03167964066780016	0.014274387928451064	-2.2193344349748076	0.026463980575058672
14_49475795	Distance	0.03235563365873476	0.01337228936231496	2.4196031645798515	0.015537452739289082
16_16698890	Distance	-0.04859235369480651	0.01793708763454214	-2.70904366889697	0.0067477457725896636
16_421930	Distance	0.0859491105455924	0.06192519715980778	1.3879505352851298	0.16515210795004054
5_32415436	Distance	0.028376425082812483	0.01739671193344319	1.6311372626836482	0.10286135959320361
5_46196179	Distance	-0.022876944012812424	0.013224983695422554	-1.7298277668751016	0.0836610518857648
5_56980879	Distance	0.052073397627178275	0.02205030999709107	2.361572133636576	0.01819763129530557
7_51086865	Distance	0.0577760029780981	0.02173438912215794	2.6582759079801415	0.00785415639127325
7_53765434	Distance	0.03852169650537201	0.013730260289511591	2.8056056981525943	0.005022210681108406
7_7456271	Distance	0.04569589521377982	0.014276799552786974	3.2007100082076536	0.0013708942747322937
9_16439923	Distance	-0.04019201464683125	0.019013379429422588	-2.113880638422195	0.03452546330591163
9_4381095	Distance	0.06278726869150185	0.026041327102096376	2.411062556272232	0.015906119976055906
9_4816710	Distance	0.07784291116557035	0.030891625333511023	2.5198710111612965	0.011739784643570155
9_56609648	Distance	0.015897724990478115	0.012935342183530032	1.229014645682891	0.2190663149403764
