chrom_pos	Chr	start	end	WinCenter	fst	delta_tp_ur	delta_td_ur	fst_outlier	tp_outlier	td_outlier	all_outlier	direction
Chr01_Occ_75000	Chr01_Occ	50000	100000	75000	0.001584	-1.0240765344882857e-5	-0.021022999999999792	0	0	0	0	Urban sel
Chr01_Occ_125000	Chr01_Occ	100000	150000	125000	0.004677	-4.14264390706234e-4	-0.006796999999999942	0	0	0	0	Urban sel
Chr01_Occ_175000	Chr01_Occ	150000	200000	175000	0.003201	-3.1262412963864884e-4	-0.0653849999999998	0	0	0	0	Urban sel
Chr01_Occ_225000	Chr01_Occ	200000	250000	225000	0.001529	-6.575249385993281e-4	-0.006064000000000069	0	0	0	0	Urban sel
Chr01_Occ_275000	Chr01_Occ	250000	300000	275000	0.003889	8.597379483135086e-4	0.16356199999999999	0	0	0	0	Rural sel
Chr01_Occ_325000	Chr01_Occ	300000	350000	325000	0.002643	2.9227507376095724e-4	0.11882999999999994	0	0	0	0	Rural sel
Chr01_Occ_375000	Chr01_Occ	350000	400000	375000	5.37e-4	2.9168217346969665e-4	0.042903000000000024	0	0	0	0	Rural sel
Chr01_Occ_425000	Chr01_Occ	400000	450000	425000	0.001399	5.409775386924446e-4	0.14356899999999995	0	0	0	0	Rural sel
Chr01_Occ_475000	Chr01_Occ	450000	500000	475000	7.59e-4	-3.448229081256613e-4	0.01765899999999987	0	0	0	0	Weird
Chr01_Occ_525000	Chr01_Occ	500000	550000	525000	0.002847	-9.456567519470823e-4	-0.006893000000000038	0	0	0	0	Urban sel
Chr01_Occ_575000	Chr01_Occ	550000	600000	575000	6.74e-4	-5.842247055204766e-5	0.07844899999999999	0	0	0	0	Weird
Chr01_Occ_625000	Chr01_Occ	600000	650000	625000	0.002354	-1.5718435434356956e-4	0.09838799999999992	0	0	0	0	Weird
Chr01_Occ_675000	Chr01_Occ	650000	700000	675000	7.94e-4	-3.863633188306882e-4	-0.024824999999999986	0	0	0	0	Urban sel
Chr01_Occ_725000	Chr01_Occ	700000	750000	725000	0.004229	-1.2808788566339227e-4	-0.0842440000000001	0	0	0	0	Urban sel
Chr01_Occ_775000	Chr01_Occ	750000	800000	775000	0.001409	5.671454330644782e-4	-0.012431000000000081	0	0	0	0	Weird
Chr01_Occ_825000	Chr01_Occ	800000	850000	825000	8.15e-4	2.445364318916371e-4	0.022885999999999962	0	0	0	0	Rural sel
Chr01_Occ_875000	Chr01_Occ	850000	900000	875000	0.002509	3.5685447431954564e-4	0.11819899999999994	0	0	0	0	Rural sel
Chr01_Occ_925000	Chr01_Occ	900000	950000	925000	0.002849	-1.618245891621753e-4	0.02036099999999985	0	0	0	0	Weird
Chr01_Occ_975000	Chr01_Occ	950000	1000000	975000	0.001667	-0.0012937185393537137	0.009956999999999994	0	0	0	0	Weird
Chr01_Occ_1025000	Chr01_Occ	1000000	1050000	1025000	0.003236	-2.3523532734061325e-4	0.0063630000000001186	0	0	0	0	Weird
Chr01_Occ_1075000	Chr01_Occ	1050000	1100000	1075000	8.56e-4	4.018783227323734e-4	0.07990599999999992	0	0	0	0	Rural sel
Chr01_Occ_1125000	Chr01_Occ	1100000	1150000	1125000	0.00273	5.9192956331662744e-5	-0.014190999999999843	0	0	0	0	Weird
Chr01_Occ_1175000	Chr01_Occ	1150000	1200000	1175000	0.001117	-3.2141095911999984e-5	0.09765900000000005	0	0	0	0	Weird
Chr01_Occ_1225000	Chr01_Occ	1200000	1250000	1225000	0.002867	1.12621236352424e-5	0.015931999999999946	0	0	0	0	Rural sel
Chr01_Occ_1275000	Chr01_Occ	1250000	1300000	1275000	0.001466	4.7676983289157183e-4	0.036331	0	0	0	0	Rural sel
Chr01_Occ_1325000	Chr01_Occ	1300000	1350000	1325000	0.002501	1.9978872624727521e-4	-0.04688000000000003	0	0	0	0	Weird
Chr01_Occ_1375000	Chr01_Occ	1350000	1400000	1375000	4.9e-4	-1.1237348385970992e-4	-0.036831999999999976	0	0	0	0	Urban sel
Chr01_Occ_1425000	Chr01_Occ	1400000	1450000	1425000	5.38e-4	-1.7143185675822653e-5	-0.10957700000000004	0	0	0	0	Urban sel
Chr01_Occ_1475000	Chr01_Occ	1450000	1500000	1475000	0.003571	4.49154579846487e-4	-0.168779	0	0	0	0	Weird
Chr01_Occ_1525000	Chr01_Occ	1500000	1550000	1525000	0	-5.381775843782115e-4	0.19376200000000002	0	0	0	0	Weird
Chr01_Occ_1575000	Chr01_Occ	1550000	1600000	1575000	0	1.086170539836076e-4	-0.09385400000000002	0	0	0	0	Weird
Chr01_Occ_1625000	Chr01_Occ	1600000	1650000	1625000	0.002466	6.901639424469926e-4	0.010151000000000021	0	0	0	0	Rural sel
Chr01_Occ_1675000	Chr01_Occ	1650000	1700000	1675000	0.007437	-1.749968149758075e-4	-0.12081900000000001	0	0	0	0	Urban sel
Chr01_Occ_1725000	Chr01_Occ	1700000	1750000	1725000	0.001069	0.0012210037010498996	0.012166999999999817	0	0	0	0	Rural sel
Chr01_Occ_1775000	Chr01_Occ	1750000	1800000	1775000	0	1.1186191680681405e-4	-0.1256759999999999	0	0	0	0	Weird
Chr01_Occ_1825000	Chr01_Occ	1800000	1850000	1825000	0	-6.577427729388304e-4	-0.11458900000000001	0	0	0	0	Urban sel
Chr01_Occ_1875000	Chr01_Occ	1850000	1900000	1875000	0	-7.453491219305899e-4	-0.19413500000000006	0	0	0	0	Urban sel
Chr01_Occ_1925000	Chr01_Occ	1900000	1950000	1925000	0	-2.8507279597304175e-5	0.059116	0	0	0	0	Weird
Chr01_Occ_1975000	Chr01_Occ	1950000	2000000	1975000	0	-2.2410214020438923e-4	-0.12504700000000007	0	0	0	0	Urban sel
Chr01_Occ_2025000	Chr01_Occ	2000000	2050000	2025000	0	0.001175214886908171	0.12685999999999997	0	0	0	0	Rural sel
Chr01_Occ_2075000	Chr01_Occ	2050000	2100000	2075000	8.3e-5	8.649657552539901e-4	0.186292	0	0	0	0	Rural sel
Chr01_Occ_2125000	Chr01_Occ	2100000	2150000	2125000	0.001089	1.0064413310268208e-4	0.22519800000000006	0	0	0	0	Rural sel
Chr01_Occ_2175000	Chr01_Occ	2150000	2200000	2175000	0	-1.727666557854897e-5	0.088949	0	0	0	0	Weird
Chr01_Occ_2225000	Chr01_Occ	2200000	2250000	2225000	0	-2.2926410448681142e-4	0.028542999999999985	0	0	0	0	Weird
Chr01_Occ_2275000	Chr01_Occ	2250000	2300000	2275000	0	-2.1124431679056185e-5	0.023579999999999934	0	0	0	0	Weird
Chr01_Occ_2325000	Chr01_Occ	2300000	2350000	2325000	0	6.806846705676405e-5	0.029127000000000014	0	0	0	0	Rural sel
Chr01_Occ_2375000	Chr01_Occ	2350000	2400000	2375000	0	-1.3239816232650872e-4	-0.094661	0	0	0	0	Urban sel
Chr01_Occ_2425000	Chr01_Occ	2400000	2450000	2425000	7.28e-4	-4.0330214500590954e-4	-0.07522699999999993	0	0	0	0	Urban sel
Chr01_Occ_2475000	Chr01_Occ	2450000	2500000	2475000	0.003115	-2.3242991605874116e-4	-0.04559099999999994	0	0	0	0	Urban sel
Chr01_Occ_2525000	Chr01_Occ	2500000	2550000	2525000	0.001991	9.854866264656908e-5	-0.008801999999999977	0	0	0	0	Weird
Chr01_Occ_2575000	Chr01_Occ	2550000	2600000	2575000	0.003141	5.936428589352772e-4	0.045983999999999914	0	0	0	0	Rural sel
Chr01_Occ_2625000	Chr01_Occ	2600000	2650000	2625000	0.003236	1.0042804439903096e-4	0.019239000000000006	0	0	0	0	Rural sel
Chr01_Occ_2675000	Chr01_Occ	2650000	2700000	2675000	0	2.6926159901103676e-4	7.010000000000627e-4	0	0	0	0	Rural sel
Chr01_Occ_2725000	Chr01_Occ	2700000	2750000	2725000	6.3e-5	5.202150058617773e-4	0.05419700000000005	0	0	0	0	Rural sel
Chr01_Occ_2775000	Chr01_Occ	2750000	2800000	2775000	6.53e-4	-3.1205071672161036e-4	-0.04110400000000003	0	0	0	0	Urban sel
Chr01_Occ_2825000	Chr01_Occ	2800000	2850000	2825000	0	3.377601584561452e-4	-0.012748000000000093	0	0	0	0	Weird
Chr01_Occ_2875000	Chr01_Occ	2850000	2900000	2875000	0	-2.4800278431605025e-4	-0.133726	0	0	0	0	Urban sel
Chr01_Occ_2925000	Chr01_Occ	2900000	2950000	2925000	0.00132	4.383642189768541e-4	0.19164800000000004	0	0	0	0	Rural sel
Chr01_Occ_2975000	Chr01_Occ	2950000	3000000	2975000	0	5.171301583123643e-4	0.1402960000000001	0	0	0	0	Rural sel
Chr01_Occ_3025000	Chr01_Occ	3000000	3050000	3025000	0.001978	5.896937368653887e-4	-0.105765	0	0	0	0	Weird
Chr01_Occ_3075000	Chr01_Occ	3050000	3100000	3075000	0	3.0329240993114646e-4	0.12779600000000002	0	0	0	0	Rural sel
Chr01_Occ_3125000	Chr01_Occ	3100000	3150000	3125000	0.007526	0.001516929838845816	0.26838300000000004	0	0	0	0	Rural sel
Chr01_Occ_3175000	Chr01_Occ	3150000	3200000	3175000	5.61e-4	1.8286351164325393e-4	0.09576200000000012	0	0	0	0	Rural sel
Chr01_Occ_3225000	Chr01_Occ	3200000	3250000	3225000	0.00219	8.85044900621715e-4	0.15504300000000004	0	0	0	0	Rural sel
Chr01_Occ_3275000	Chr01_Occ	3250000	3300000	3275000	1.68e-4	1.1347061438424406e-4	0.18101299999999998	0	0	0	0	Rural sel
Chr01_Occ_3325000	Chr01_Occ	3300000	3350000	3325000	5.23e-4	5.988078381085598e-4	0.11067899999999997	0	0	0	0	Rural sel
Chr01_Occ_3375000	Chr01_Occ	3350000	3400000	3375000	7.35e-4	1.1211395819145549e-4	0.06995099999999987	0	0	0	0	Rural sel
Chr01_Occ_3425000	Chr01_Occ	3400000	3450000	3425000	0.00325	-1.3492282114915127e-4	-0.07043500000000003	0	0	0	0	Urban sel
Chr01_Occ_3475000	Chr01_Occ	3450000	3500000	3475000	1.59e-4	2.255656775381927e-4	-0.018975999999999882	0	0	0	0	Weird
Chr01_Occ_3525000	Chr01_Occ	3500000	3550000	3525000	0.001274	-2.3998840323443196e-4	-0.001214999999999966	0	0	0	0	Urban sel
Chr01_Occ_3575000	Chr01_Occ	3550000	3600000	3575000	0	-2.5616965969768937e-4	-0.03630599999999995	0	0	0	0	Urban sel
Chr01_Occ_3625000	Chr01_Occ	3600000	3650000	3625000	0.005148	-7.733807791827051e-4	-0.12460399999999994	0	0	0	0	Urban sel
Chr01_Occ_3675000	Chr01_Occ	3650000	3700000	3675000	0.003793	-8.815461581654135e-4	-0.25813300000000017	0	0	0	0	Urban sel
Chr01_Occ_3725000	Chr01_Occ	3700000	3750000	3725000	0.003165	8.998277597974426e-4	0.17833299999999985	0	0	0	0	Rural sel
Chr01_Occ_3775000	Chr01_Occ	3750000	3800000	3775000	0	-2.1894769747735944e-4	-0.142654	0	0	0	0	Urban sel
Chr01_Occ_3825000	Chr01_Occ	3800000	3850000	3825000	0	3.9352139309020186e-4	-0.009579000000000004	0	0	0	0	Weird
Chr01_Occ_3875000	Chr01_Occ	3850000	3900000	3875000	7.92e-4	1.0891273217792513e-4	-0.05149799999999993	0	0	0	0	Weird
Chr01_Occ_3925000	Chr01_Occ	3900000	3950000	3925000	0	-1.4869465590108648e-4	0.086735	0	0	0	0	Weird
Chr01_Occ_3975000	Chr01_Occ	3950000	4000000	3975000	2.4e-5	3.833063107029286e-4	0.01070099999999996	0	0	0	0	Rural sel
Chr01_Occ_4025000	Chr01_Occ	4000000	4050000	4025000	0.001636	5.5500497613057e-4	0.03366400000000003	0	0	0	0	Rural sel
Chr01_Occ_4075000	Chr01_Occ	4050000	4100000	4075000	0.001895	-4.517771761595388e-4	-0.1025529999999999	0	0	0	0	Urban sel
Chr01_Occ_4125000	Chr01_Occ	4100000	4150000	4125000	0.003991	4.7218115491411833e-4	0.11705199999999993	0	0	0	0	Rural sel
Chr01_Occ_4175000	Chr01_Occ	4150000	4200000	4175000	0	1.7000494029218056e-4	-0.0301769999999999	0	0	0	0	Weird
Chr01_Occ_4225000	Chr01_Occ	4200000	4250000	4225000	0.003924	6.394279354722931e-4	0.013805999999999985	0	0	0	0	Rural sel
Chr01_Occ_4275000	Chr01_Occ	4250000	4300000	4275000	0	2.442520394086e-4	0.04313299999999998	0	0	0	0	Rural sel
Chr01_Occ_4325000	Chr01_Occ	4300000	4350000	4325000	0.001148	3.310034421039436e-4	0.13421799999999995	0	0	0	0	Rural sel
Chr01_Occ_4375000	Chr01_Occ	4350000	4400000	4375000	0	4.22463306822652e-4	0.1040629999999999	0	0	0	0	Rural sel
Chr01_Occ_4425000	Chr01_Occ	4400000	4450000	4425000	1.9e-4	3.01982278707702e-4	0.07480799999999999	0	0	0	0	Rural sel
Chr01_Occ_4475000	Chr01_Occ	4450000	4500000	4475000	6.11e-4	1.2631974589025034e-4	0.05248300000000006	0	0	0	0	Rural sel
Chr01_Occ_4525000	Chr01_Occ	4500000	4550000	4525000	0.002439	-2.9184645491089206e-5	0.08984600000000009	0	0	0	0	Weird
Chr01_Occ_4575000	Chr01_Occ	4550000	4600000	4575000	3.94e-4	3.438775868656041e-4	0.107796	0	0	0	0	Rural sel
Chr01_Occ_4625000	Chr01_Occ	4600000	4650000	4625000	0	-5.38897760961372e-4	0.019293999999999922	0	0	0	0	Weird
Chr01_Occ_4675000	Chr01_Occ	4650000	4700000	4675000	2.06e-4	9.395469867671397e-6	-0.0020180000000000753	0	0	0	0	Weird
Chr01_Occ_4725000	Chr01_Occ	4700000	4750000	4725000	1.65e-4	6.477442947857327e-4	0.142729	0	0	0	0	Rural sel
Chr01_Occ_4775000	Chr01_Occ	4750000	4800000	4775000	0	4.7233188167624535e-4	0.1495390000000001	0	0	0	0	Rural sel
Chr01_Occ_4825000	Chr01_Occ	4800000	4850000	4825000	0.001893	5.639683447316883e-4	0.1706939999999999	0	0	0	0	Rural sel
Chr01_Occ_4875000	Chr01_Occ	4850000	4900000	4875000	0.001652	6.578122082393986e-5	0.15543000000000007	0	0	0	0	Rural sel
Chr01_Occ_4925000	Chr01_Occ	4900000	4950000	4925000	0.002937	3.9109657796157146e-4	0.054039000000000004	0	0	0	0	Rural sel
Chr01_Occ_4975000	Chr01_Occ	4950000	5000000	4975000	0.011478	-9.034939417996626e-4	-0.252986	0	0	0	0	Urban sel
Chr01_Occ_5025000	Chr01_Occ	5000000	5050000	5025000	5.5e-5	7.24759321881277e-6	0.057082999999999995	0	0	0	0	Rural sel
Chr01_Occ_5075000	Chr01_Occ	5050000	5100000	5075000	0	3.783340454453672e-4	0.026861999999999997	0	0	0	0	Rural sel
Chr01_Occ_5125000	Chr01_Occ	5100000	5150000	5125000	0.002181	3.324160814104429e-5	0.04247500000000004	0	0	0	0	Rural sel
Chr01_Occ_5175000	Chr01_Occ	5150000	5200000	5175000	0.001445	2.0155805093693968e-5	0.018735999999999864	0	0	0	0	Rural sel
Chr01_Occ_5225000	Chr01_Occ	5200000	5250000	5225000	9.41e-4	2.1095878007508853e-4	-0.05936999999999992	0	0	0	0	Weird
Chr01_Occ_5275000	Chr01_Occ	5250000	5300000	5275000	0.002309	4.101960072326674e-4	0.02212599999999998	0	0	0	0	Rural sel
Chr01_Occ_5325000	Chr01_Occ	5300000	5350000	5325000	8.66e-4	-1.845317831028065e-4	-0.04144199999999998	0	0	0	0	Urban sel
Chr01_Occ_5375000	Chr01_Occ	5350000	5400000	5375000	0	3.3531714917686695e-4	0.11348999999999998	0	0	0	0	Rural sel
Chr01_Occ_5425000	Chr01_Occ	5400000	5450000	5425000	8.2e-4	-1.9064948446307142e-4	0.1777	0	0	0	0	Weird
Chr01_Occ_5475000	Chr01_Occ	5450000	5500000	5475000	0	1.7232189520363303e-4	0.080729	0	0	0	0	Rural sel
Chr01_Occ_5525000	Chr01_Occ	5500000	5550000	5525000	0.004565	6.163642134295252e-4	0.11838300000000002	0	0	0	0	Rural sel
Chr01_Occ_5575000	Chr01_Occ	5550000	5600000	5575000	0	2.1878937490786218e-4	0.02706200000000003	0	0	0	0	Rural sel
Chr01_Occ_5625000	Chr01_Occ	5600000	5650000	5625000	0.001369	1.429914094856809e-4	-0.07629800000000009	0	0	0	0	Weird
Chr01_Occ_5675000	Chr01_Occ	5650000	5700000	5675000	0.002025	-4.566672933153451e-4	-0.146113	0	0	0	0	Urban sel
Chr01_Occ_5725000	Chr01_Occ	5700000	5750000	5725000	0	-1.8985479165250368e-4	0.097831	0	0	0	0	Weird
Chr01_Occ_5775000	Chr01_Occ	5750000	5800000	5775000	0	-4.5553778312080496e-4	-0.059977999999999976	0	0	0	0	Urban sel
Chr01_Occ_5825000	Chr01_Occ	5800000	5850000	5825000	0.001807	1.6452562386925877e-4	-0.058853000000000044	0	0	0	0	Weird
Chr01_Occ_5875000	Chr01_Occ	5850000	5900000	5875000	0	3.146699261921222e-4	-0.07918500000000006	0	0	0	0	Weird
Chr01_Occ_5925000	Chr01_Occ	5900000	5950000	5925000	0	4.8289156144267105e-4	0.073797	0	0	0	0	Rural sel
Chr01_Occ_5975000	Chr01_Occ	5950000	6000000	5975000	0.001612	0.005867795671426595	0.537576	0	1	1	0	Rural sel
Chr01_Occ_6025000	Chr01_Occ	6000000	6050000	6025000	0.002422	0.0097951635608679	0.590662	0	1	1	0	Rural sel
Chr01_Occ_6075000	Chr01_Occ	6050000	6100000	6075000	0.007765	-5.420744039725846e-4	-0.228228	0	0	0	0	Urban sel
Chr01_Occ_6125000	Chr01_Occ	6100000	6150000	6125000	0	5.816191414503222e-4	0.07284399999999996	0	0	0	0	Rural sel
Chr01_Occ_6175000	Chr01_Occ	6150000	6200000	6175000	5.56e-4	7.031938724837081e-4	0.04025300000000004	0	0	0	0	Rural sel
Chr01_Occ_6225000	Chr01_Occ	6200000	6250000	6225000	0.001107	2.6402168471598153e-4	-0.001906999999999992	0	0	0	0	Weird
Chr01_Occ_6275000	Chr01_Occ	6250000	6300000	6275000	6.77e-4	-7.74142324560835e-5	-0.042889999999999984	0	0	0	0	Urban sel
Chr01_Occ_6325000	Chr01_Occ	6300000	6350000	6325000	0	3.728498886477853e-5	-0.038495	0	0	0	0	Weird
Chr01_Occ_6375000	Chr01_Occ	6350000	6400000	6375000	4.9e-5	5.821084293410397e-6	0.002452999999999983	0	0	0	0	Rural sel
Chr01_Occ_6425000	Chr01_Occ	6400000	6450000	6425000	5.71e-4	-1.0721841875949156e-4	-0.00394899999999998	0	0	0	0	Urban sel
Chr01_Occ_6475000	Chr01_Occ	6450000	6500000	6475000	9.8e-5	-7.381761942773079e-4	-0.004213000000000022	0	0	0	0	Urban sel
Chr01_Occ_6525000	Chr01_Occ	6500000	6550000	6525000	0	4.0491984243301495e-4	0.04873699999999981	0	0	0	0	Rural sel
Chr01_Occ_6575000	Chr01_Occ	6550000	6600000	6575000	3.24e-4	4.2186822262524e-4	0.017517000000000005	0	0	0	0	Rural sel
