Chr	start	end	win_size	direction	mean_xpnsl	min_max	all_prop_outlier	mean_prop_outlier	mean_percentile_permuted	prop_percentile_permuted	all_xpnsl_ranks	min_xpnsl_rank	num_fst_outliers	num_fst_pi_td_outliers	gene_symbols	products
Chr04_Occ	7355352	7605352	250000	Rural sel	-2.358268375	-5.29576	0.849,0.75,0.64,0.718,0.59	0.7094	0.974,0.956,0.93,0.961,0.871	0.849,0.75,0.64,0.718,0.59	3,9,18,14,27	3	5	0	7357935, 7378686, 7388706, 7396458, 7412657, 7426633, 7461232, 7487198, 7489953, 7498568, 7516679, 7520972, 7524787, 7530802, 7534096, 7539769, 7545225, 7568477, 7579594, 7594659, 7376022, 7440707, 7456926, 7558473, 7602836	ACLI19_g30729, ACLI19_g30731, ACLI19_g30732, ACLI19_g30733, ACLI19_g30734, ACLI19_g30735, ACLI19_g30738, ACLI19_g30739, ACLI19_g30740, ACLI19_g30741, ACLI19_g30742, ACLI19_g30743, ACLI19_g30744, ACLI19_g30745, ACLI19_g30746, ACLI19_g30747, ACLI19_g30748, ACLI19_g30750, ACLI19_g30751, ACLI19_g30752, ACLI19_g30730, ACLI19_g30736, ACLI19_g30737, ACLI19_g30749, ACLI19_g30753
Chr05_Pall	58152905	58202905	50000	Rural sel	-2.911004007	-4.97952	0.76	0.76	0.987	0.76	7	7	0	0	58156741, 58169494, 58175337, 58185392, 58206142, 58164249, 58179690, 58196005	ACLI19_g49711, ACLI19_g49713, ACLI19_g49714, ACLI19_g49716, ACLI19_g49718, ACLI19_g49712, ACLI19_g49715, ACLI19_g49717
Chr05_Pall	58252905	58352905	100000	Rural sel	-2.788052332	-5.64982	0.636,0.754	0.695	0.981,0.984	0.636,0.754	19,8	8	2	1	58253308, 58255217, 58269970, 58282590, 58288159, 58299143, 58304916, 58310466, 58318824, 58263060, 58277953, 58350028, 58331162	ACLI19_g49724, ACLI19_g49725, ACLI19_g49727, ACLI19_g49729, ACLI19_g49730, ACLI19_g49731, ACLI19_g49732, ACLI19_g49733, ACLI19_g49734, ACLI19_g49726, ACLI19_g49728, ACLI19_g49736, ACLI19_g49735
Chr07_Occ	49767332	49867332	100000	Rural sel	-3.241645263	-5.60901	0.841,0.95	0.8955	0.985,0.998	0.841,0.95	5,2	2	3	3	49769928, 49788305, 49797115, 49801105, 49805017, 49812535, 49815607, 49831681, 49836906, 49851919, 49864211, 49775983, 49791067, 49824738, 49842001	ACLI19_g62372, ACLI19_g62374, ACLI19_g62376, ACLI19_g62377, ACLI19_g62378, ACLI19_g62379, ACLI19_g62380, ACLI19_g62382, ACLI19_g62383, ACLI19_g62385, ACLI19_g62386, ACLI19_g62373, ACLI19_g62375, ACLI19_g62381, ACLI19_g62384
Chr08_Pall	16572347	16722347	150000	Rural sel	-4.091102891	-8.45624	0.983,0.738,0.846	0.8556666667	1,0.992,0.998	0.983,0.738,0.846	1,10,4	1	1	1	16584899, 16600803, 16607077, 16622779, 16643076, 16654907, 16671294, 16679443, 16691907, 16702804, 16581559, 16617649, 16663386	ACLI19_g75067, ACLI19_g75068, ACLI19_g75069, ACLI19_g75071, ACLI19_g75072, ACLI19_g75073, ACLI19_g75075, ACLI19_g75076, ACLI19_g75077, ACLI19_g75078, ACLI19_g75066, ACLI19_g75070, ACLI19_g75074
Chr08_Pall	56722347	56772347	50000	Rural sel	-2.995763526	-4.78787	0.821	0.821	0.99	0.821	6	6	0	0	56733316, 56761877, 56764460, 56770786, 56756503	ACLI19_g78020, ACLI19_g78022, ACLI19_g78023, ACLI19_g78024, ACLI19_g78021
Chr04_Occ	51005352	51105352	100000	Urban sel	2.313525882	4.93733	0.955,0.379	0.667	0.986,0.725	0.955,0.379	3,83	3	0	0	51025709, 51031223, 51072229, 51076887, 51082105, 51087190, 51092731, 51095864, 51106555, 51102628	ACLI19_g33611, ACLI19_g33612, ACLI19_g33613, ACLI19_g33614, ACLI19_g33615, ACLI19_g33616, ACLI19_g33617, ACLI19_g33618, ACLI19_g33620, ACLI19_g33619
Chr04_Occ	52355352	52405352	50000	Urban sel	2.571958636	3.73806	0.818	0.818	0.971	0.818	6	6	0	0	52358232, 52392838	ACLI19_g33745, ACLI19_g33746
Chr04_Occ	53605352	53905352	300000	Urban sel	2.581428314	6.11845	0.684,0.917,0.662,0.715,0.424,0.736	0.6896666667	0.929,0.996,0.952,0.991,0.791,0.974	0.684,0.917,0.662,0.715,0.424,0.736	14,4,17,12,62,11	4	3	3	53606718, 53624110, 53632731, 53643598, 53647254, 53648976, 53655841, 53668859, 53688676, 53699460, 53701825, 53709239, 53712496, 53718546, 53741128, 53748162, 53758686, 53764112, 53775921, 53791939, 53793433, 53809200, 53830979, 53865243, 53872764, 53878159, 53900901, 53916646, 53658657, 53677400, 53756442, 53773900, 53790402, 53808345, 53857080, 53888226	ACLI19_g33850, ACLI19_g33851, ACLI19_g33852, ACLI19_g33853, ACLI19_g33854, ACLI19_g33855, ACLI19_g33856, ACLI19_g33858, ACLI19_g33860, ACLI19_g33861, ACLI19_g33862, ACLI19_g33863, ACLI19_g33864, ACLI19_g33865, ACLI19_g33866, ACLI19_g33867, ACLI19_g33869, ACLI19_g33870, ACLI19_g33872, ACLI19_g33874, ACLI19_g33875, ACLI19_g33877, ACLI19_g33878, ACLI19_g33880, ACLI19_g33881, ACLI19_g33882, ACLI19_g33884, ACLI19_g33885, ACLI19_g33857, ACLI19_g33859, ACLI19_g33868, ACLI19_g33871, ACLI19_g33873, ACLI19_g33876, ACLI19_g33879, ACLI19_g33883
Chr05_Occ	4260042	4310042	50000	Urban sel	2.630339848	4.88331	0.768	0.768	0.975	0.768	10	10	1	0	4266348, 4269884, 4279567, 4281930, 4282557, 4276373, 4293787	ACLI19_g40931, ACLI19_g40932, ACLI19_g40934, ACLI19_g40935, ACLI19_g40936, ACLI19_g40933, ACLI19_g40937
