xpnsl_chr,xpnsl_start,xpnsl_end,direction,all_xpnsl_ranks,arg_chr,arg_start,arg_end,regionID,id,arg_branch_fst,arg_branch_divergence,arg_branch_pi_urban,arg_branch_pi_rural,arg_branch_td_urban,arg_branch_td_rural,arg_branch_ss_urban,arg_branch_ss_rural
Chr03_Pall,17408039,17458039,Rural sel,67,Chr03_Pall,17447408,17447408,18,Chr03_Pall_region18,0.0527707643597199,320672.031410402,371462.225528835,202177.367726766,-1.54387266727488,-2.17707040576083,3218836.36119371,2624093.45421564
Chr03_Pall,17408039,17458039,Rural sel,67,Chr03_Pall,17447426,17447426,18,Chr03_Pall_region18,0.0545720336318481,321636.739827523,370606.508868215,202177.367726766,-1.44555297268038,-2.17707022697205,3056041.74575778,2624093.45421564
Chr03_Pall,17408039,17458039,Rural sel,67,Chr03_Pall,17447435,17447435,18,Chr03_Pall_region18,0.0538266402688917,327174.276094227,372035.880083793,211813.97593442,-1.40896725295874,-2.08550705645319,3008269.58749487,2557847.26455808
Chr03_Pall,17408039,17458039,Rural sel,67,Chr03_Pall,17447436,17447436,18,Chr03_Pall_region18,0.0557864095801925,330863.200777206,374045.13552608597,214004.119294885,-1.39147996230896,-2.06408804109797,2997845.43377527,2542791.27708737
Chr04_Occ,405352,455352,Rural sel,113,Chr04_Occ,416676,416676,1,Chr04_Occ_region1,0.0596215933041725,315898.293445118,326554.434745729,232745.977931912,0.106366258283448,-0.722749141994538,1555986.02005956,1442518.95275134
Chr04_Occ,405352,455352,Rural sel,113,Chr04_Occ,416684,416684,1,Chr04_Occ_region1,0.0589288807931519,315155.388102201,327092.005844029,231853.794847299,0.0622413666783012,-0.513355690969493,1577085.31421225,1320452.29838887
Chr04_Occ,405352,455352,Rural sel,113,Chr04_Occ,416700,416700,1,Chr04_Occ_region1,0.0593018462732782,315962.372993864,328215.224238133,231782.420179864,-0.0155426880524076,-0.492619693591023,1621367.96096564,1310686.96321243
Chr04_Occ,405352,455352,Rural sel,113,Chr04_Occ,416702,416702,1,Chr04_Occ_region1,0.0584532807266932,310665.575731309,322287.553498322,229477.967211877,0.0293397398017195,-0.500826510166129,1572855.23827238,1304293.40572982
Chr04_Occ,405352,455352,Rural sel,113,Chr04_Occ,416841,416841,1,Chr04_Occ_region1,0.0507073299063098,259769.080953998,274618.811475789,194065.838138355,-0.216293092499076,-0.845664762646475,1446203.81040882,1259248.07381918
Chr04_Occ,405352,455352,Rural sel,113,Chr04_Occ,420786,420786,1,Chr04_Occ_region1,0.0503884181805608,241727.237854196,225153.977982399,210767.900974833,-1.54126672534849,-1.26400996330352,1994516.69879182,1629490.52904868
Chr04_Occ,7355352,7605352,Rural sel,"3,9,18,14,27",Chr04_Occ,7456675,7456675,8,Chr04_Occ_region8,0.0517718375636974,261269.421201552,256413.105886805,211233.056865635,-0.644949608241516,-0.936069468389397,1533738.62867973,1403489.50216733
Chr07_Occ,49767332,49867332,Rural sel,"5,2",Chr07_Occ,49823661,49823661,50,Chr07_Occ_region50,0.0502200108494236,364788.197275552,354412.01100871,301083.195084276,-0.554406587661984,-0.774048500446359,2024766.60967029,1850376.59195524
Chr07_Pall,49418066,49518066,Rural sel,"13,92",Chr07_Pall,49469222,49469222,50,Chr07_Pall_region50,0.0505732701049848,233771.765221654,212766.912644633,208456.687727741,-1.9819503137,-1.57288535992814,2436243.12364279,1876752.0281546
Chr07_Pall,49418066,49518066,Rural sel,"13,92",Chr07_Pall,49469312,49469312,50,Chr07_Pall_region50,0.0509674847301579,234473.978159003,212762.22735016,209588.78346142799,-1.98335319265288,-1.55619035778118,2437604.60909427,1870169.3621225
Chr07_Pall,49418066,49518066,Rural sel,"13,92",Chr07_Pall,49469347,49469347,50,Chr07_Pall_region50,0.0511733728543115,235789.896815947,213375.677991093,210979.815247219,-1.97830204903401,-1.52977563292371,2434675.48934061,1853354.9989116
Chr07_Pall,49418066,49518066,Rural sel,"13,92",Chr07_Pall,49469354,49469354,50,Chr07_Pall_region50,0.052852299604632,239700.958006081,215480.989901166,213730.346192477,-1.96211742084748,-1.50144509160696,2430298.79765277,1843013.61543737
