Chr	start	end	direction	gene_id	gene_symbol	product
Chr04_Occ	7355352	7605352	Rural sel	ACLI19_g30729	NA	hypothetical protein
Chr04_Occ	7355352	7605352	Rural sel	ACLI19_g30731	NA	alpha-farnesene synthase
Chr04_Occ	7355352	7605352	Rural sel	ACLI19_g30732	ACA11	Putative calcium-transporting ATPase 11%2C plasma membrane-type, plasma membrane-type
Chr04_Occ	7355352	7605352	Rural sel	ACLI19_g30733	NA	zinc finger CCCH domain-containing protein 22 [Trifolium pratense]
Chr04_Occ	7355352	7605352	Rural sel	ACLI19_g30734	GPDHC1	Glycerol-3-phosphate dehydrogenase [NAD(+)] gpdhc1%2C cytosolic, cytosolic
Chr04_Occ	7355352	7605352	Rural sel	ACLI19_g30735	CKX6	Cytokinin dehydrogenase 6
Chr04_Occ	7355352	7605352	Rural sel	ACLI19_g30738	NA	myosin heavy chain kinase B-like protein [Trifolium pratense]
Chr04_Occ	7355352	7605352	Rural sel	ACLI19_g30739	NA	polygalacturonase-like [Trifolium pratense]
Chr04_Occ	7355352	7605352	Rural sel	ACLI19_g30740	TIP51	Probable aquaporin TIP5-1
Chr04_Occ	7355352	7605352	Rural sel	ACLI19_g30741	NA	nitric-oxide synthase (NADPH)
Chr04_Occ	7355352	7605352	Rural sel	ACLI19_g30742	MAN2	Mannan endo-1%2C4-beta-mannosidase 2,4-beta-mannosidase 2
Chr04_Occ	7355352	7605352	Rural sel	ACLI19_g30743	NA	hypothetical protein
Chr04_Occ	7355352	7605352	Rural sel	ACLI19_g30744	NA	hypothetical protein
Chr04_Occ	7355352	7605352	Rural sel	ACLI19_g30745	NA	cell number regulator 6-like [Trifolium pratense]
Chr04_Occ	7355352	7605352	Rural sel	ACLI19_g30746	NA	hypothetical protein
Chr04_Occ	7355352	7605352	Rural sel	ACLI19_g30747	NA	hypothetical protein
Chr04_Occ	7355352	7605352	Rural sel	ACLI19_g30748	HSP22	Heat shock 22 kDa protein%2C mitochondrial, mitochondrial
Chr04_Occ	7355352	7605352	Rural sel	ACLI19_g30750	NA	putative glycerol-3-phosphate transporter 1 [Trifolium pratense]
Chr04_Occ	7355352	7605352	Rural sel	ACLI19_g30751	NA	RNA polymerase sigma factor sigA [Trifolium pratense]
Chr04_Occ	7355352	7605352	Rural sel	ACLI19_g30752	MEX1	Core protein
Chr04_Occ	7355352	7605352	Rural sel	ACLI19_g30730	NA	alpha-farnesene synthase
