Chr	start	end	direction	gene_id
Chr01_Occ	10851721	10901721	Rural sel	ACLI19_g1271
Chr01_Occ	10851721	10901721	Rural sel	ACLI19_g1273
Chr01_Occ	10851721	10901721	Rural sel	ACLI19_g1274
Chr01_Occ	10851721	10901721	Rural sel	ACLI19_g1275
Chr01_Occ	10851721	10901721	Rural sel	ACLI19_g1276
Chr01_Occ	10851721	10901721	Rural sel	ACLI19_g1272
Chr01_Occ	20751721	20801721	Rural sel	ACLI19_g2259
Chr01_Occ	20751721	20801721	Rural sel	ACLI19_g2260
Chr01_Occ	20751721	20801721	Rural sel	ACLI19_g2261
Chr01_Occ	20751721	20801721	Rural sel	ACLI19_g2258
Chr01_Occ	20901721	20951721	Rural sel	ACLI19_g2273
Chr01_Occ	20901721	20951721	Rural sel	ACLI19_g2274
Chr01_Occ	20901721	20951721	Rural sel	ACLI19_g2275
Chr01_Occ	20901721	20951721	Rural sel	ACLI19_g2276
Chr01_Occ	26751721	26801721	Rural sel	ACLI19_g2742
Chr01_Occ	26751721	26801721	Rural sel	ACLI19_g2743
Chr01_Occ	26751721	26801721	Rural sel	ACLI19_g2744
Chr01_Occ	27601721	27651721	Urban sel	ACLI19_g2810
Chr01_Occ	27601721	27651721	Urban sel	ACLI19_g2811
Chr01_Occ	27601721	27651721	Urban sel	ACLI19_g2812
Chr01_Occ	27601721	27651721	Urban sel	ACLI19_g2813
Chr01_Occ	27601721	27651721	Urban sel	ACLI19_g2814
Chr01_Occ	27601721	27651721	Urban sel	ACLI19_g2815
Chr01_Occ	32401721	32451721	Rural sel	ACLI19_g3141
Chr01_Occ	34501721	34551721	Rural sel	ACLI19_g3228
Chr01_Occ	43251721	43301721	Rural sel	ACLI19_g3472
Chr01_Occ	44301721	44351721	Rural sel	ACLI19_g3516
Chr01_Occ	44301721	44351721	Rural sel	ACLI19_g3517
Chr01_Occ	44301721	44351721	Rural sel	ACLI19_g3519
Chr01_Occ	44301721	44351721	Rural sel	ACLI19_g3520
Chr01_Occ	44301721	44351721	Rural sel	ACLI19_g3518
Chr01_Occ	46151721	46201721	Urban sel	ACLI19_g3638
Chr01_Occ	46151721	46201721	Urban sel	ACLI19_g3639
Chr01_Occ	46151721	46201721	Urban sel	ACLI19_g3641
Chr01_Occ	46151721	46201721	Urban sel	ACLI19_g3637
