Chr	winID	start	end	winCenter	mean_perm_perc	prop_perm_perc
Chr05_Occ	96	4760042	4810042	4785042	0.9999410173661726	1
Chr05_Occ	97	4810042	4860042	4835042	0.9996292520159422	0.9967643812300407
Chr04_Occ	1074	53655352	53705352	53680352	0.9955088937385721	0.9938236756292184
Chr04_Occ	1076	53755352	53805352	53780352	0.9910430657487845	0.9656805332030098
Chr02_Occ	128	6357793	6407793	6382793	0.9863665854953277	0.9509095964745237
Chr04_Occ	1021	51005352	51055352	51030352	0.9858357417908813	0.9960565896241121
Chr05_Occ	91	4510042	4560042	4535042	0.9833753233512247	0.9911694571069861
Chr05_Occ	98	4860042	4910042	4885042	0.9794319129753368	0.9818923314149934
Chr05_Occ	92	4560042	4610042	4585042	0.9752694242452329	0.9804683221125894
Chr05_Occ	86	4260042	4310042	4285042	0.974974511076096	0.9773169642480978
Chr05_Occ	94	4660042	4710042	4685042	0.9747638588124268	0.9807295309195393
Chr04_Occ	1078	53855352	53905352	53880352	0.9737611540373613	0.9710985094245823
Chr04_Occ	1048	52355352	52405352	52380352	0.9709973963380211	0.9845549760277724
Chr04_Occ	1075	53705352	53755352	53730352	0.9522156405092729	0.9484660302159607
Chr06_Pall	1092	54574841	54624841	54599841	0.9521650839659923	0.9595716175566023
Chr07_Occ	1100	54967332	55017332	54992332	0.9482385257711979	0.8639270637602272
Chr01_Pall	934	46679843	46729843	46704843	0.9409752357198831	0.9195561135499962
Chr03_Occ	648	32408557	32458557	32433557	0.9401663310273932	0.9332737889601361
Chr08_Pall	8	372347	422347	397347	0.9369138600763404	0.9406718964601993
Chr01_Pall	493	24629843	24679843	24654843	0.931529588216955	0.9418094186840131
Chr08_Occ	26	1270573	1320573	1295573	0.9301814137294719	0.802576698489202
Chr04_Occ	1073	53605352	53655352	53630352	0.9287995348798018	0.9564539640542977
Chr06_Occ	1193	59622456	59672456	59647456	0.9183427565112615	0.8152916691242764
Chr06_Occ	203	10122456	10172456	10147456	0.914239250414985	0.915368346548252
Chr04_Occ	1083	54105352	54155352	54130352	0.9018107668585007	0.8773666781823237
Chr02_Pall	33	1611600	1661600	1636600	0.9011703839769463	0.9445057676589793
Chr05_Occ	90	4460042	4510042	4485042	0.8995778528636069	0.9128405193842213
Chr02_Pall	716	35761600	35811600	35786600	0.8990470091591605	0.9100093529605069
Chr03_Occ	923	46158557	46208557	46183557	0.8926937368868966	0.939188904523968
Chr03_Occ	782	39108557	39158557	39133557	0.8898541443726354	0.859082061695835
Chr03_Pall	104	5158039	5208039	5183039	0.8869387170434534	0.8109775107643307
Chr01_Pall	394	19679843	19729843	19704843	0.8782682698708281	0.7813682285829844
Chr02_Pall	717	35811600	35861600	35836600	0.876920095383345	0.9507326485730415
Chr03_Occ	1138	56908557	56958557	56933557	0.8741563376840048	0.8361462432275297
Chr03_Occ	1124	56208557	56258557	56233557	0.8690838311748498	0.8238188727576067
Chr03_Occ	1139	56958557	57008557	56983557	0.8570935043267975	0.8959462078379494
Chr01_Pall	44	2179843	2229843	2204843	0.856234043091027	0.8137496945542176
Chr06_Occ	238	11872456	11922456	11897456	0.8535545462971545	0.6383353415515803
Chr08_Occ	841	42020573	42070573	42045573	0.8486758398705753	0.6558363316172195
Chr04_Occ	1071	53505352	53555352	53530352	0.8486337094178414	0.7770203658608515
Chr01_Occ	936	46751721	46801721	46776721	0.8378230352463367	0.9366610773599373
Chr05_Occ	93	4610042	4660042	4635042	0.8333572072565492	0.8673733347938557
